Function Name,Description
ABS,ABS: Math and trigonometry:Returns the absolute value of a number
ACCRINT,ACCRINT: Financial:Returns the accrued interest for a security that pays periodic interest
ACCRINTM,ACCRINTM: Financial:Returns the accrued interest for a security that pays interest at maturity
ACOS,ACOS: Math and trigonometry:Returns the arccosine of a number
ACOSH,ACOSH: Math and trigonometry:Returns the inverse hyperbolic cosine of a number
ACOT,ACOT: Math and trigonometry:Returns the arccotangent of a number
ACOTH,ACOTH: Math and trigonometry:Returns the hyperbolic arccotangent of a number
AGGREGATE,AGGREGATE: Math and trigonometry:Returns an aggregate in a list or database
ADDRESS,ADDRESS: Lookup and reference:Returns a reference as text to a single cell in a worksheet
AMORDEGRC,AMORDEGRC: Financial:Returns the depreciation for each accounting period by using a depreciation coefficient
AMORLINC,AMORLINC: Financial:Returns the depreciation for each accounting period
AND,AND: Logical:Returns TRUE if all of its arguments are TRUE
ARABIC,"ARABIC: Math and trigonometry:Converts a Roman number to Arabic, as a number"
AREAS,AREAS: Lookup and reference:Returns the number of areas in a reference
ARRAYTOTEXT,ARRAYTOTEXT: Text:Returns an array of text values from any specified range
ASC,ASC: Text:Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters
ASIN,ASIN: Math and trigonometry:Returns the arcsine of a number
ASINH,ASINH: Math and trigonometry:Returns the inverse hyperbolic sine of a number
ATAN,ATAN: Math and trigonometry:Returns the arctangent of a number
ATAN2,ATAN2: Math and trigonometry:Returns the arctangent from x- and y-coordinates
ATANH,ATANH: Math and trigonometry:Returns the inverse hyperbolic tangent of a number
AVEDEV,AVEDEV: Statistical:Returns the average of the absolute deviations of data points from their mean
AVERAGE,AVERAGE: Statistical:Returns the average of its arguments
AVERAGEA,"AVERAGEA: Statistical:Returns the average of its arguments, including numbers, text, and logical values"
AVERAGEIF,AVERAGEIF: Statistical:Returns the average (arithmetic mean) of all the cells in a range that meet a given criteria
AVERAGEIFS,AVERAGEIFS: Statistical:Returns the average (arithmetic mean) of all cells that meet multiple criteria.
BAHTTEXT,"BAHTTEXT: Text:Converts a number to text, using the ß (baht) currency format"
BASE,BASE: Math and trigonometry:Converts a number into a text representation with the given radix (base)
BESSELI,BESSELI: Engineering:Returns the modified Bessel function In(x)
BESSELJ,BESSELJ: Engineering:Returns the Bessel function Jn(x)
BESSELK,BESSELK: Engineering:Returns the modified Bessel function Kn(x)
BESSELY,BESSELY: Engineering:Returns the Bessel function Yn(x)
BETADIST,BETADIST: Compatibility:Returns the beta cumulative distribution function
BETA.DIST,BETA.DIST: Statistical:Returns the beta cumulative distribution function
BETAINV,BETAINV: Compatibility:Returns the inverse of the cumulative distribution function for a specified beta distribution
BETA.INVn,BETA.INVn: Statistical:Returns the inverse of the cumulative distribution function for a specified beta distribution
BIN2DEC,BIN2DEC: Engineering:Converts a binary number to decimal
BIN2HEX,BIN2HEX: Engineering:Converts a binary number to hexadecimal
BIN2OCT,BIN2OCT: Engineering:Converts a binary number to octal
BINOMDIST,BINOMDIST: Compatibility:Returns the individual term binomial distribution probability
BINOM.DIST,BINOM.DIST: Statistical:Returns the individual term binomial distribution probability
BINOM.DIST.RANGE,BINOM.DIST.RANGE: Statistical:Returns the probability of a trial result using a binomial distribution
BINOM.INV,BINOM.INV: Statistical:Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value
BITAND,BITAND: Engineering:Returns a 'Bitwise And' of two numbers
BITLSHIFT,BITLSHIFT: Engineering:Returns a value number shifted left by shift_amount bits
BITOR,BITOR: Engineering:Returns a bitwise OR of 2 numbers
BITRSHIFT,BITRSHIFT: Engineering:Returns a value number shifted right by shift_amount bits
BITXOR,BITXOR: Engineering:Returns a bitwise 'Exclusive Or' of two numbers
BYCOL,BYCOL: Logical:Applies a LAMBDA to each column and returns an array of the results
BYROW,BYROW: Logical:Applies a LAMBDA to each row and returns an array of the results
CALL,CALL: Add-in and Automation:Calls a procedure in a dynamic link library or code resource
CEILING,CEILING: Compatibility:Rounds a number to the nearest integer or to the nearest multiple of significance
CEILING.MATH,"CEILING.MATH: Math and trigonometry:Rounds a number up, to the nearest integer or to the nearest multiple of significance"
CEILING.PRECISE,"CEILING.PRECISE: Math and trigonometry:Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up."
CELL,"CELL: Information:Returns information about the formatting, location, or contents of a cellThis function is not available in Excel for the web."
CHAR,CHAR: Text:Returns the character specified by the code number
CHIDIST,CHIDIST: Compatibility:Returns the one-tailed probability of the chi-squared distribution
CHIINV,CHIINV: Compatibility:Returns the inverse of the one-tailed probability of the chi-squared distribution
CHITEST,CHITEST: Compatibility:Returns the test for independence
CHISQ.DIST,CHISQ.DIST: Statistical:Returns the cumulative beta probability density function
CHISQ.DIST.RT,CHISQ.DIST.RT: Statistical:Returns the one-tailed probability of the chi-squared distribution
CHISQ.INV,CHISQ.INV: Statistical:Returns the cumulative beta probability density function
CHISQ.INV.RT,CHISQ.INV.RT: Statistical:Returns the inverse of the one-tailed probability of the chi-squared distribution
CHISQ.TEST,CHISQ.TEST: Statistical:Returns the test for independence
CHOOSE,CHOOSE: Lookup and reference:Chooses a value from a list of values
CHOOSECOLS,CHOOSECOLS: Lookup and reference:Returns the specified columns from an array
CHOOSEROWS,CHOOSEROWS: Lookup and reference:Returns the specified rows from an array
CLEAN,CLEAN: Text:Removes all nonprintable characters from text
CODE,CODE: Text:Returns a numeric code for the first character in a text string
COLUMN,COLUMN: Lookup and reference:Returns the column number of a reference
COLUMNS,COLUMNS: Lookup and reference:Returns the number of columns in a reference
COMBIN,COMBIN: Math and trigonometry:Returns the number of combinations for a given number of objects
COMBINA,COMBINA: Math and trigonometry:Returns the number of combinations with repetitions for a given number of items
COMPLEX,COMPLEX: Engineering:Converts real and imaginary coefficients into a complex number
CONCAT,"CONCAT: Text:Combines the text from multiple ranges and/or strings, but it doesn't provide the delimiter or IgnoreEmpty arguments."
CONCATENATE,CONCATENATE: Text:Joins several text items into one text item
CONFIDENCE,CONFIDENCE: Compatibility:Returns the confidence interval for a population mean
CONFIDENCE.NORM,CONFIDENCE.NORM: Statistical:Returns the confidence interval for a population mean
CONFIDENCE.T,"CONFIDENCE.T: Statistical:Returns the confidence interval for a population mean, using a Student's t distribution"
CONVERT,CONVERT: Engineering:Converts a number from one measurement system to another
COPILOT,"COPILOT: Text:Categorize, summarize, and generate text using Copilot"
(Premium Copilot feature,"(Premium Copilot feature: Text:Categorize, summarize, and generate text using Copilot"
Beta),"Beta): Text:Categorize, summarize, and generate text using Copilot"
CORREL,CORREL: Statistical:Returns the correlation coefficient between two data sets
COS,COS: Math and trigonometry:Returns the cosine of a number
COSH,COSH: Math and trigonometry:Returns the hyperbolic cosine of a number
COT,COT: Math and trigonometry:Returns the hyperbolic cosine of a number
COTH,COTH: Math and trigonometry:Returns the cotangent of an angle
COUNT,COUNT: Statistical:Counts how many numbers are in the list of arguments
COUNTA,COUNTA: Statistical:Counts how many values are in the list of arguments
COUNTBLANK,COUNTBLANK: Statistical:Counts the number of blank cells within a range
COUNTIF,COUNTIF: Statistical:Counts the number of cells within a range that meet the given criteria
COUNTIFS,COUNTIFS: Statistical:Counts the number of cells within a range that meet multiple criteria
COUPDAYBS,COUPDAYBS: Financial:Returns the number of days from the beginning of the coupon period to the settlement date
COUPDAYS,COUPDAYS: Financial:Returns the number of days in the coupon period that contains the settlement date
COUPDAYSNC,COUPDAYSNC: Financial:Returns the number of days from the settlement date to the next coupon date
COUPNCD,COUPNCD: Financial:Returns the next coupon date after the settlement date
COUPNUM,COUPNUM: Financial:Returns the number of coupons payable between the settlement date and maturity date
COUPPCD,COUPPCD: Financial:Returns the previous coupon date before the settlement date
COVAR,"COVAR: Compatibility:Returns covariance, the average of the products of paired deviations"
COVARIANCE.P,"COVARIANCE.P: Statistical:Returns covariance, the average of the products of paired deviations"
COVARIANCE.S,"COVARIANCE.S: Statistical:Returns the sample covariance, the average of the products deviations for each data point pair in two data sets"
CRITBINOM,CRITBINOM: Compatibility:Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value
CSC,CSC: Math and trigonometry:Returns the cosecant of an angle
CSCH,CSCH: Math and trigonometry:Returns the hyperbolic cosecant of an angle
CUBEKPIMEMBER,"CUBEKPIMEMBER: Cube:Returns a key performance indicator (KPI) name, property, and measure, and displays the name and property in the cell. A KPI is a quantifiable measurement, such as monthly gross profit or quarterly employee turnover, used to monitor an organization's performance."
CUBEMEMBER,CUBEMEMBER: Cube:Returns a member or tuple in a cube hierarchy. Use to validate that the member or tuple exists in the cube.
CUBEMEMBERPROPERTY,CUBEMEMBERPROPERTY: Cube:Returns the value of a member property in the cube. Use to validate that a member name exists within the cube and to return the specified property for this member.
CUBERANKEDMEMBER,"CUBERANKEDMEMBER: Cube:Returns the nth, or ranked, member in a set. Use to return one or more elements in a set, such as the top sales performer or top 10 students."
CUBESET,"CUBESET: Cube:Defines a calculated set of members or tuples by sending a set expression to the cube on the server, which creates the set, and then returns that set to Microsoft Office Excel."
CUBESETCOUNT,CUBESETCOUNT: Cube:Returns the number of items in a set.
CUBEVALUE,CUBEVALUE: Cube:Returns an aggregated value from a cube.
CUMIPMT,CUMIPMT: Financial:Returns the cumulative interest paid between two periods
CUMPRINC,CUMPRINC: Financial:Returns the cumulative principal paid on a loan between two periods
DATE,DATE: Date and time:Returns the serial number of a particular date
DATEDIF,"DATEDIF: Date and time:Calculates the number of days, months, or years between two dates. This function is useful in formulas where you need to calculate an age."
DATEVALUE,DATEVALUE: Date and time:Converts a date in the form of text to a serial number
DAVERAGE,DAVERAGE: Database:Returns the average of selected database entries
DAY,DAY: Date and time:Converts a serial number to a day of the month
DAYS,DAYS: Date and time:Returns the number of days between two dates
DAYS360,DAYS360: Date and time:Calculates the number of days between two dates based on a 360-day year
DB,DB: Financial:Returns the depreciation of an asset for a specified period by using the fixed-declining balance method
DBCS,DBCS: Text:Changes half-width (single-byte) English letters or katakana within a character string to full-width (double-byte) characters
DCOUNT,DCOUNT: Database:Counts the cells that contain numbers in a database
DCOUNTA,DCOUNTA: Database:Counts nonblank cells in a database
DDB,DDB: Financial:Returns the depreciation of an asset for a specified period by using the double-declining balance method or some other method that you specify
DEC2BIN,DEC2BIN: Engineering:Converts a decimal number to binary
DEC2HEX,DEC2HEX: Engineering:Converts a decimal number to hexadecimal
DEC2OCT,DEC2OCT: Engineering:Converts a decimal number to octal
DECIMAL,DECIMAL: Math and trigonometry:Converts a text representation of a number in a given base into a decimal number
DEGREES,DEGREES: Math and trigonometry:Converts radians to degrees
DELTA,DELTA: Engineering:Tests whether two values are equal
DETECTLANGUAGE,DETECTLANGUAGE: Text:Identifies the language of a specified text
(Microsoft 365),(Microsoft 365): Text:Identifies the language of a specified text
DEVSQ,DEVSQ: Statistical:Returns the sum of squares of deviations
DGET,DGET: Database:Extracts from a database a single record that matches the specified criteria
DISC,DISC: Financial:Returns the discount rate for a security
DMAX,DMAX: Database:Returns the maximum value from selected database entries
DMIN,DMIN: Database:Returns the minimum value from selected database entries
DOLLAR,"DOLLAR: Text:Converts a number to text, using the $ (dollar) currency format"
DOLLARDE,"DOLLARDE: Financial:Converts a dollar price, expressed as a fraction, into a dollar price, expressed as a decimal number"
DOLLARFR,"DOLLARFR: Financial:Converts a dollar price, expressed as a decimal number, into a dollar price, expressed as a fraction"
DPRODUCT,DPRODUCT: Database:Multiplies the values in a particular field of records that match the criteria in a database
DROP,DROP: Lookup and reference:Excludes a specified number of rows or columns from the start or end of an array
DSTDEV,DSTDEV: Database:Estimates the standard deviation based on a sample of selected database entries
DSTDEVP,DSTDEVP: Database:Calculates the standard deviation based on the entire population of selected database entries
DSUM,DSUM: Database:Adds the numbers in the field column of records in the database that match the criteria
DURATION,DURATION: Financial:Returns the annual duration of a security with periodic interest payments
DVAR,DVAR: Database:Estimates variance based on a sample from selected database entries
DVARP,DVARP: Database:Calculates variance based on the entire population of selected database entries
EDATE,EDATE: Date and time:Returns the serial number of the date that is the indicated number of months before or after the start date
EFFECT,EFFECT: Financial:Returns the effective annual interest rate
ENCODEURL,ENCODEURL: Web:Returns a URL-encoded stringThis function is not available in Excel for the web.
EOMONTH,EOMONTH: Date and time:Returns the serial number of the last day of the month before or after a specified number of months
ERF,ERF: Engineering:Returns the error function
ERF.PRECISE,ERF.PRECISE: Engineering:Returns the error function
ERFC,ERFC: Engineering:Returns the complementary error function
ERFC.PRECISE,ERFC.PRECISE: Engineering:Returns the complementary ERF function integrated between x and infinity
ERROR.TYPE,ERROR.TYPE: Information:Returns a number corresponding to an error type
EUROCONVERT,"EUROCONVERT: Add-in and Automation:Converts a number to euros, converts a number from euros to a euro member currency, or converts a number from one euro member currency to another by using the euro as an intermediary (triangulation)."
EVEN,EVEN: Math and trigonometry:Rounds a number up to the nearest even integer
EXACT,EXACT: Text:Checks to see if two text values are identical
EXP,EXP: Math and trigonometry:Returnseraised to the power of a given number
EXPAND,EXPAND: Lookup and reference:Expands or pads an array to specified row and column dimensions
EXPON.DIST,EXPON.DIST: Statistical:Returns the exponential distribution
EXPONDIST,EXPONDIST: Compatibility:Returns the exponential distribution
FACT,FACT: Math and trigonometry:Returns the factorial of a number
FACTDOUBLE,FACTDOUBLE: Math and trigonometry:Returns the double factorial of a number
FALSE,FALSE: Logical:Returns the logical value FALSE
F.DIST,F.DIST: Statistical:Returns the F probability distribution
FDIST,FDIST: Compatibility:Returns the F probability distribution
F.DIST.RT,F.DIST.RT: Statistical:Returns the F probability distribution
FILTER,FILTER: Lookup and reference:Filters a range of data based on criteria you define
FILTERXML,FILTERXML: Web:Returns specific data from the XML content by using the specified XPathThis function is not available in Excel for the web.
FIND,FIND: Text:Finds one text value within another (case-sensitive)
FINDB,FINDB: Text:Finds one text value within another (case-sensitive)
F.INV,F.INV: Statistical:Returns the inverse of the F probability distribution
F.INV.RT,F.INV.RT: Statistical:Returns the inverse of the F probability distribution
FINV,FINV: Compatibility:Returns the inverse of the F probability distribution
FISHER,FISHER: Statistical:Returns the Fisher transformation
FISHERINV,FISHERINV: Statistical:Returns the inverse of the Fisher transformation
FIXED,FIXED: Text:Formats a number as text with a fixed number of decimals
FLOOR,"FLOOR: Compatibility:Rounds a number down, toward zero"
FLOOR.MATH,"FLOOR.MATH: Math and trigonometry:Rounds a number down, to the nearest integer or to the nearest multiple of significance"
FLOOR.PRECISE,"FLOOR.PRECISE: Math and trigonometry:Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up."
FORECAST,"FORECAST: Statistical:Returns a value along a linear trendThis function has been replaced withFORECAST.LINEARas part of the newForecasting, but it's still available for compatibility with earlier versions."
FORECAST.ETS,FORECAST.ETS: Statistical:Returns a future value based on existing (historical) values by using the AAA version of the Exponential Smoothing (ETS) algorithm
FORECAST.ETS.CONFINT,FORECAST.ETS.CONFINT: Statistical:Returns a confidence interval for the forecast value at the specified target date
FORECAST.ETS.SEASONALITY,FORECAST.ETS.SEASONALITY: Statistical:Returns the length of the repetitive pattern Excel detects for the specified time series
FORECAST.ETS.STAT,FORECAST.ETS.STAT: Statistical:Returns a statistical value as a result of time series forecasting
FORECAST.LINEAR,FORECAST.LINEAR: Statistical:Returns a future value based on existing values
FORMULATEXT,FORMULATEXT: Lookup and reference:Returns the formula at the given reference as text
FREQUENCY,FREQUENCY: Statistical:Returns a frequency distribution as a vertical array
F.TEST,F.TEST: Statistical:Returns the result of an F-test
FTEST,FTEST: Compatibility:Returns the result of an F-test
FV,FV: Financial:Returns the future value of an investment
FVSCHEDULE,FVSCHEDULE: Financial:Returns the future value of an initial principal after applying a series of compound interest rates
GAMMA,GAMMA: Statistical:Returns the Gamma function value
GAMMA.DIST,GAMMA.DIST: Statistical:Returns the gamma distribution
GAMMADIST,GAMMADIST: Compatibility:Returns the gamma distribution
GAMMA.INV,GAMMA.INV: Statistical:Returns the inverse of the gamma cumulative distribution
GAMMAINV,GAMMAINV: Compatibility:Returns the inverse of the gamma cumulative distribution
GAMMALN,"GAMMALN: Statistical:Returns the natural logarithm of the gamma function, Γ(x)"
GAMMALN.PRECISE,"GAMMALN.PRECISE: Statistical:Returns the natural logarithm of the gamma function, Γ(x)"
GAUSS,GAUSS: Statistical:Returns 0.5 less than the standard normal cumulative distribution
GCD,GCD: Math and trigonometry:Returns the greatest common divisor
GEOMEAN,GEOMEAN: Statistical:Returns the geometric mean
GESTEP,GESTEP: Engineering:Tests whether a number is greater than a threshold value
GETPIVOTDATA,GETPIVOTDATA: Lookup and reference:Returns data stored in a PivotTable report
GROUPBY,"GROUPBY: Lookup and reference:Helps a user group, aggregate, sort, and filter data based on the fields you specify"
(Microsoft 365),"(Microsoft 365): Lookup and reference:Helps a user group, aggregate, sort, and filter data based on the fields you specify"
GROWTH,GROWTH: Statistical:Returns values along an exponential trend
HARMEAN,HARMEAN: Statistical:Returns the harmonic mean
HEX2BIN,HEX2BIN: Engineering:Converts a hexadecimal number to binary
HEX2DEC,HEX2DEC: Engineering:Converts a hexadecimal number to decimal
HEX2OCT,HEX2OCT: Engineering:Converts a hexadecimal number to octal
HLOOKUP,HLOOKUP: Lookup and reference:Looks in the top row of an array and returns the value of the indicated cell
HOUR,HOUR: Date and time:Converts a serial number to an hour
HSTACK,HSTACK: Lookup and reference:Appends arrays horizontally and in sequence to return a larger array
HYPERLINK,"HYPERLINK: Lookup and reference:Creates a shortcut or jump that opens a document stored on a network server, an intranet, or the Internet"
HYPGEOM.DIST,HYPGEOM.DIST: Statistical:Returns the hypergeometric distribution
HYPGEOMDIST,HYPGEOMDIST: Compatibility:Returns the hypergeometric distribution
IF,IF: Logical:Specifies a logical test to perform
IFERROR,"IFERROR: Logical:Returns a value you specify if a formula evaluates to an error; otherwise, returns the result of the formula"
IFNA,"IFNA: Logical:Returns the value you specify if the expression resolves to #N/A, otherwise returns the result of the expression"
IFS,IFS: Logical:Checks whether one or more conditions are met and returns a value that corresponds to the first TRUE condition.
IMABS,IMABS: Engineering:Returns the absolute value (modulus) of a complex number
IMAGE,IMAGE: Lookup and reference:Returns an image from a given source
IMAGINARY,IMAGINARY: Engineering:Returns the imaginary coefficient of a complex number
IMARGUMENT,"IMARGUMENT: Engineering:Returns the argument theta, an angle expressed in radians"
IMCONJUGATE,IMCONJUGATE: Engineering:Returns the complex conjugate of a complex number
IMCOS,IMCOS: Engineering:Returns the cosine of a complex number
IMCOSH,IMCOSH: Engineering:Returns the hyperbolic cosine of a complex number
IMCOT,IMCOT: Engineering:Returns the cotangent of a complex number
IMCSC,IMCSC: Engineering:Returns the cosecant of a complex number
IMCSCH,IMCSCH: Engineering:Returns the hyperbolic cosecant of a complex number
IMDIV,IMDIV: Engineering:Returns the quotient of two complex numbers
IMEXP,IMEXP: Engineering:Returns the exponential of a complex number
IMLN,IMLN: Engineering:Returns the natural logarithm of a complex number
IMLOG10,IMLOG10: Engineering:Returns the base-10 logarithm of a complex number
IMLOG2,IMLOG2: Engineering:Returns the base-2 logarithm of a complex number
IMPOWER,IMPOWER: Engineering:Returns a complex number raised to an integer power
IMPRODUCT,IMPRODUCT: Engineering:Returns the product of complex numbers
IMREAL,IMREAL: Engineering:Returns the real coefficient of a complex number
IMSEC,IMSEC: Engineering:Returns the secant of a complex number
IMSECH,IMSECH: Engineering:Returns the hyperbolic secant of a complex number
IMSIN,IMSIN: Engineering:Returns the sine of a complex number
IMSINH,IMSINH: Engineering:Returns the hyperbolic sine of a complex number
IMSQRT,IMSQRT: Engineering:Returns the square root of a complex number
IMSUB,IMSUB: Engineering:Returns the difference between two complex numbers
IMSUM,IMSUM: Engineering:Returns the sum of complex numbers
IMTAN,IMTAN: Engineering:Returns the tangent of a complex number
INDEX,INDEX: Lookup and reference:Uses an index to choose a value from a reference or array
INDIRECT,INDIRECT: Lookup and reference:Returns a reference indicated by a text value
INFO,INFO: Information:Returns information about the current operating environmentThis function is not available in Excel for the web.
INT,INT: Math and trigonometry:Rounds a number down to the nearest integer
INTERCEPT,INTERCEPT: Statistical:Returns the intercept of the linear regression line
INTRATE,INTRATE: Financial:Returns the interest rate for a fully invested security
IPMT,IPMT: Financial:Returns the interest payment for an investment for a given period
IRR,IRR: Financial:Returns the internal rate of return for a series of cash flows
ISBLANK,ISBLANK: Information:Returns TRUE if the value is blank
ISERR,ISERR: Information:Returns TRUE if the value is any error value except #N/A
